"ds","id","query","product_title","product_description","median_relevance","relevance_variance"
"1",1,"bridal shower decorations"," accent design heart pillow redblack"," accent black embroidered heart pillow red satin thread",1,0
"2",2,"led christmas lights"," battery christmas clear led lights multi operated set train wire"," 15h 18w additional allows batteries battery blue bulb bulbs burns christmas clear color connect consists convenient cool cord covers dimensions energy equipped falling feature features feet function green hours inch inches included indoor interchangeable item keeps lamp lead led length less light lighted lights listed lit located lock makes matching materials micro multicolor multiple number one onofftimer operated pack plasticwireacrylic product red replaceable requires rest set sets size spacing stay string switch timer together total touch train use will wire x124210 yellow",4,0
"3",4,"projector"," dlp multimedia pro8200 projector viewsonic","",4,0.471
"4",5,"wine rack"," bottle ceilingwallmount charcoal concept grey housewares rack solidwood wine wr44526"," ll 120 1325 695 accents addition appearance appreciated assembly bird branch branches coat coats combination d<U+00E9>cor details dimensions enough enterprises eyecatching features frame gets give graceful great hardware hat hats hold home hooks like making material metal number perched pinecone rack required saver serves silent small southern space still strong sturdy themed top tree two umbrellas weight welcoming whether whimsical",4,0
"5",7,"light bulb"," bulb christmas led light lighting pack wintergreen"," 096 130 60000 acrylic amber average base bases bulb candle christmas color corrosion dimmable features hours lamps led light material nickel prevent replacement resin shape sockets source steady type voltage volts wattage watts wtgr1011 yes",2,0.471
"6",8,"oakley polarized radar"," blackgray oakley path polished radar sunglasses"," 100 400 accents airflow alignment allday ansi antismudge black blue capacity channel coating comes comfort comfortable cooling coverage customizable durability ellipsoid extra filters fit frame framegray geometry glare harmful highmass highvelocity holds hydrophobicoleophobic icon impact included integrated interchangeable iridium lens lenses light lightweight material matter meets metal multiple nose oakley optical optimized options pad performance peripheral plutonite polaric polished ports precise precision protection protective reduction resistance secure side soft sportsspecific standard standards stressresistant surge threepoint transmission tuned unobtainium uva uvb uvc vault view z871",3,1.166
"7",10,"boyfriend jeans"," american dvd make quilt"," 2518897 actresses adaptation alfre allstar american angelou anna annas anne aunt bancroft becomes bee beeincluding berkeley boyfriend brought burstyn california camaraderie capshawbecome cast claire close collection colorful confused constance contemplates course create danes daughter dermot different director dodd ellen emotional experiences featuring female fiery film finn finns flashback freespirited friends friendship future gaining glady graduate grandma grandmothers great growth hiatus home idyllic including individual insight interwoven item jocelyn kate led lessons life lives love make mariana marriage mathis maya meet member members memories memory moorhouses mother mulroney nelligan northern novel older otto pain past ponder present proposal quilt quilting regular relationships relatives ryder sage sally sam samantha seven shares shines stars stories student subtly summer tale thesis together tribute two unique vivid weaving wedding whitney winona woman women womens woodard work young youth",1,0
"8",13,"screen protector samsung"," cell galaxy invisibleshield mini phone protector samsung screen zagg"," achieve allows almost also application bubblefree cell damaged designed device durable easy ever galaxy gets got impact invisible invisibleshield lifetime mini nanomemory need one phone plus precious problem protect protector punctures resistant samsung scratches scratchresistant screen selfheal shield slim small starts strong tearing technology warranty water wear will yet youll youve zagg",4,0
"9",17,"pots and pans set"," 4piece 8quart bottom cook cooker encapsulated home multipots pasta stainless steamer steel"," 8quart aluminum bottom cooking core distribution encapsulated even features four glass heat includes insert layer lid mirror pasta pieces polished pot provide set stainless steamer steel stock tempered ultimate vegetable",2,0.632
"10",20,"waffle maker"," 03510 electric flipside maker presto waffle"," 180 batter construction crisp crispy design distribution electric ensures even evenly family flip fluffy heat inside lover maker outside please presto provides spreads stainless steel tender unique waffle waffles",4,0.471
